Policy,TTFT,TPOT,Total,R_TTFT,R_TPOT,R_Total
round-robin-q,755.85,62.40,28230.55,1.00,1.00,1.00
join-shortest-q-weight,492.27,74.15,32833.60,1.54,0.84,0.86
join-shortest-q-tuple,437.21,67.97,30070.27,1.73,0.92,0.94
bailian-impl-06,350.40,22.14,10000.12,2.16,2.82,2.82
least-wait-token-bs,343.08,76.21,33679.54,2.20,0.82,0.84
dynamo-deterministic,304.24,23.93,10290.02,2.48,2.61,2.74
least-wait-token-gated-bs,158.87,13.30,6075.45,4.76,4.69,4.65
